epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,132.601,2.08619,9.23891,2.04521,0.66035,0.51685,0.56247,0.2842,1.85038,4.76344,1.66287,0.00165849,0.000552832,0.00165849,0.000552832,0.00165849,0.000552832,0.00165849,0.000552832
2,225.549,1.72402,5.36121,1.72927,0.70148,0.61034,0.65597,0.31138,1.85369,4.2423,1.6708,0.00325965,0.00108655,0.00325965,0.00108655,0.00325965,0.00108655,0.00325965,0.00108655
3,319.033,1.67873,5.11222,1.67925,0.704,0.60685,0.65468,0.3065,1.88047,4.44454,1.73647,0.00479479,0.00159826,0.00479479,0.00159826,0.00479479,0.00159826,0.00479479,0.00159826
4,412.552,1.66399,5.07575,1.66024,0.74621,0.63245,0.71442,0.37854,1.72694,4.0859,1.60291,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
5,505.177,1.63233,4.78848,1.63494,0.79419,0.68344,0.76743,0.45729,1.446,3.25747,1.45299,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,597.778,1.58747,4.57182,1.59467,0.79168,0.70044,0.77737,0.48005,1.39378,3.16929,1.44243,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,690.864,1.56759,4.42985,1.58704,0.83956,0.73559,0.81121,0.49387,1.38834,2.90173,1.42731,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,783.377,1.54488,4.26952,1.57101,0.8142,0.73856,0.81221,0.49022,1.40409,2.85365,1.4362,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,876.266,1.53082,4.21032,1.56208,0.85763,0.73916,0.83092,0.52072,1.35152,2.76084,1.40037,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,969.097,1.51862,4.08011,1.54359,0.86315,0.77255,0.84997,0.54424,1.29865,2.64377,1.36075,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,1062.16,1.51008,4.00448,1.53043,0.86299,0.7845,0.85688,0.5448,1.31649,2.58275,1.36335,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,1154.8,1.48734,3.92682,1.52001,0.86889,0.77952,0.85791,0.54757,1.30199,2.53402,1.35315,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,1248.39,1.47623,3.89726,1.51351,0.84526,0.7881,0.85855,0.53997,1.3073,2.47707,1.35967,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,1340.94,1.46157,3.76635,1.49611,0.8798,0.79672,0.87378,0.56785,1.27084,2.43311,1.32631,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,1433.42,1.46523,3.77727,1.49592,0.89032,0.78661,0.87317,0.57317,1.25502,2.38255,1.33482,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,1526.07,1.44766,3.65033,1.48318,0.90403,0.81626,0.89032,0.57973,1.26001,2.27643,1.32203,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
